Sl. No.,State/UT,Nitrogen (N) - VL,Nitrogen(N)-Low,Nitrogen (N) - L,Nitrogen (N) - M,Nitrogen (N) - H,Nitrogen(N) - High,Nitrogen (N) - VH,Phosphorous (P) - VL,Phosphorous(P) - Low,Phosphorous (P) - L,Phosphorous (P) - M,Phosphorous (P) - H,Phosphorous(P) - High,Phosphorous (P) - VH,Potassium (K) - VL,Potassium(K) - Low,Potassium (K) - L,Potassium (K) - M,Potassium (K) - H,Potassium(K) - High,Potassium (K) - VH
1,Andhra and Nicobar Islands,620,2800,2180,18,2,5,3,2420,2773,353,44,1,6,5,2113,2729,616,90,3,4,1
2,Andhra Pradesh,354615,1126109,771494,314541,18580,24625,6045,0,163367,163367,427045,875013,875013,0,0,200125,200125,484447,780669,780669,0
3,Arunachal Pradesh,16,20,4,202,12651,12748,97,5478,11646,6168,1244,62,82,20,4933,8739,3806,3744,440,489,49
4,Assam,6037,112069,106032,61716,86436,86769,333,136087,229647,93560,28985,4226,6668,2442,115309,204337,89028,51424,9206,9519,313
5,Bihar,2699,134695,131996,93019,179,372,193,9904,33789,23885,169718,18642,24693,6051,9420,34618,25198,178251,12127,15332,3205
6,Chhattisgarh,82453,724187,641734,219849,9998,13241,3243,75385,324791,249406,483417,90442,148582,58140,26069,119391,93322,517965,296929,319510,22581
7,Delhi,24,302,278,786,2,2,0,582,969,387,110,5,10,5,17,170,153,393,442,526,84
8,Goa,1099,5340,4241,7848,1463,2903,1440,8487,10561,2074,3354,1162,2174,1012,1328,4946,3618,6360,3343,4754,1411
9,Gujarat,147810,1152031,1004221,506177,22896,30828,7932,37104,245596,208492,1022385,345687,422236,76549,27233,103154,75921,866980,690366,720309,29943
10,Haryana,274559,290576,16017,452,7,333,326,745058,1038464,293406,176530,41455,72494,31039,128786,392459,263673,485113,293215,413495,120280
11,Himachal Pradesh,1933,39831,37898,44255,6492,6705,213,2410,12703,10293,65754,16768,25221,8453,2601,9958,7357,60888,28095,32768,4673
12,Jammu and Kashmir,2770,20528,17758,64034,8896,18785,9889,28796,78526,49730,58688,8116,11024,2908,11843,45317,33474,91207,10718,11609,891
13,Jharkhand,3861,31287,27426,25337,760,1012,252,12698,37670,24972,13642,1938,6203,4265,6643,20365,13722,30963,5298,6230,932
14,Karnataka,201266,446692,245426,226283,44705,110763,66058,236685,595719,359034,626356,231086,420035,188949,138239,378486,240247,627259,575724,636543,60819
15,Kerala,735,766,31,11,0,1,1,28502,49397,20895,57916,10641,24744,14103,13594,43279,29685,56025,28903,32756,3853
16,Ladakh,7,21,14,178,16,16,0,157,1768,1611,2740,192,306,114,36,212,176,2583,1748,2006,258
17,Madhya Pradesh,110116,1422783,1312667,419260,10445,12773,2328,293147,1160604,867457,624973,46524,80720,34196,50158,190154,139996,1118385,522155,557117,34962
18,Maharashtra,468113,1786796,1318683,824774,79414,121265,41851,174424,708712,534288,1277334,358578,796706,438128,63039,179076,116037,837099,1308886,1766166,457280
19,Manipur,221,845,624,872,1,2,1,286,1150,864,741,158,409,251,233,778,545,1265,220,249,29
20,Meghalaya,39,57,18,50,14,14,0,19221,32248,13027,7375,606,985,379,8936,25925,16989,10706,3771,3941,170
21,Mizoram,60,1497,1437,10732,9,10,1,4350,11923,7573,242,36,71,35,31,1101,1070,10831,294,297,3
22,Nagaland,11,92,81,3257,8604,8659,55,8312,10412,2100,1348,161,247,86,1107,3902,2795,6242,1852,1862,10
23,Odisha,2382,4103,1721,1046,6,10,4,220028,402587,182559,131873,18528,33798,15270,46706,198101,151395,270800,78251,98980,20729
24,Puducherry,4768,5904,1136,26,0,3,3,4252,4787,535,933,172,213,41,175,934,759,2592,1864,2407,543
25,Punjab,25485,26521,1036,1613,499,1048,549,152116,418586,266470,286560,46295,65007,18712,42402,207232,164830,346804,165857,215891,50034
26,Rajasthan,6,8,2,0,0,0,0,41776,393593,351817,1016098,83283,93402,10119,12909,164478,151569,1031156,291900,307425,15525
27,Sikkim,330,7249,6919,2980,4,9,5,208,1814,1606,4486,3102,3933,831,181,1165,984,6160,2664,2905,241
28,Tamil Nadu,396110,1298250,902140,34256,218,995,777,169831,513408,343577,442286,174910,377650,202740,33777,172138,138361,679446,342188,481668,139480
29,Telangana,245278,854011,608733,161603,13146,16746,3600,59183,220952,161769,429785,182866,370774,187908,115492,257426,141934,376168,336066,395549,59483
30,Dadra and Nagar Haveli and Daman and Diu,196,1627,1431,587,0,1,1,219,1691,1472,469,110,271,161,34,102,68,559,997,1770,773
31,Tripura,1608,17492,15884,11671,1267,1293,26,1907,12890,10983,14122,3281,3879,598,3976,20483,16507,9180,1206,1219,13
32,Uttar Pradesh,4484086,4907591,423505,78771,2489,8452,5963,1431542,4389405,2957863,498718,78896,196191,117295,302024,1225615,923591,3695609,150605,161103,10498
33,Uttarakhand,2924,2986,62,372,38,47,9,19596,41102,21506,55016,30159,44261,14102,5244,33029,27785,82596,20767,24839,4072
34,West Bengal,30,407,377,727,18,18,0,64,143,79,245,159,764,605,329,581,252,447,118,124,6
Total,Total,6822267,14425473,7603206,3117303,329255,480453,151198,3930215,11163393,7233178,7930532,2673260,4108772,1435512,1174917,4250505,3075588,11949737,5966887,7010031,1043144
